CELL_LINE_NAME	Drugs\Concentrations	2	1	0.5	0.25	0.125	0.0625	0.03125	0.015625	0.0078125
MC-CAR	A	90.7641013	NA	98.5792803	100.323199	99.8201838	99.1164687	97.8601963	97.8314474	98.3185513
MC-CAR	B	92.5133839	96.9610457	94.3993559	94.7071138	NA	NA	95.5247235	95.9516422	100.8297744
MC-CAR	C	51.5103756	71.5710037	NA	99.0991122	100.4427493	102.4888063	99.5091373	99.1589002	99.5098449
ABCD	D	96.8399504	98.8128088	98.1737869	97.6677595	98.2688292	94.3753372	94.8268694	96.5986143	102.4313917
ABCD	E	66.4411171	75.231413	105.2130067	102.2485449	105.5709794	103.7602914	102.1571586	103.6885247	98.9877231
ABCD	F	13.8840684	21.6513485	43.8481434	76.1511249	98.9700493	98.5807129	101.3790441	95.5988815	103.0161054
GDEG	G	88.6158779	96.652582	98.1218091	97.4082452	98.4467514	NA	NA	98.4421523	99.9474644
GDEG	H	73.5975579	82.5063983	88.9533828	92.239804	93.0385813	94.0691257	94.3560368	95.4756226	96.911962
GDEG	K	98.7477903	100.2534279	99.034752	99.3588642	102.3545153	102.3045184	101.0177911	100.030004	98.7113342
GDEG	L	63.8160287	66.1110817	77.0383118	75.5850749	89.4351592	91.830632	93.9554701	101.0024758	95.1475089
